id,firstname,lastname,full_name,birthday,age,weight,height,foot,club,national_team,country_of_birth,city_of_birth,position,role,status,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,matches_played,total_shots,accurate_shots,shot_accuracy,goals,shot_conversion,penalties_taken,penalties_scored,penalty_conversion,total_passes,accurate_passes,pass_accuracy,key_passes,assists,run_attempts_with_ball,successful_runs_with_ball,perc_successful_runs_with_ball,crosses,dribbles,free_kick_shots,free_kick_crosses,aerial_duels,aerial_duels_won,perc_aerial_duels_won,ground_defensive_duels_won,loose_ball_duels,loose_balls_won,perc_loose_balls_won,sliding_tackles,interceptions,clearances,blocks,possession_regained,own_goals,gk_balls_attacked,gk_save_attempts,gk_successful_save_attempts,perc_gk_save_success,cluster,top_knn_ids
12,kenneth josiah,omeruo,kenneth josiah omeruo,10/17/1993,23,74,185,right,cd leganes,nigeria,Nigeria,"Obuohia Okike, Abia State",DF,CB,Active,1500000,5000000,6/30/2024 0:00,ISC,https://img.a.transfermarkt.technology/portrait/header/131708-1541162235.jpg?lm=1,2,0,0,0.00%,0,0.00%,0,0,0.00%,64,49,76.60%,0,0,0,0,0.00%,0,1,0,0,12,6,50.00%,2,5,4,80.00%,0,10,0,0,10,0,0,0,0,0.00%,12,[ 20704 101558  26085 491451  86325 360778 239411 397030  40538 382289]
33,jasper,cillessen,jasper cillessen,4/22/1989,27,83,185,right,fc barcelona,,Netherlands,Nijmegen,GK,GK,Active,3000000,20000000,6/30/2025 0:00,SEG,https://img.a.transfermarkt.technology/portrait/header/146227-1660814229.jpg?lm=1,1,0,0,0.00%,0,0.00%,0,0,0.00%,19,14,73.70%,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0.00%,0,1,0,0,1,0,1,7,6,85.70%,20,[190168  20606 286981 149050   6363  26971  21128   8992 229078  14794]
36,toby,alderweireld,toby alderweireld,3/2/1989,27,91,187,right,tottenham hotspur fc,belgium,Belgium,Wilrijk,DF,CB,Active,4000000,40000000,6/30/2025 0:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/42710-1664349412.jpg?lm=1,25,21,5,23.80%,1,4.80%,0,0,0.00%,1551,1381,89.00%,3,1,2,2,100.00%,5,5,0,0,87,36,41.40%,33,50,25,50.00%,5,107,0,2,112,0,0,0,0,0.00%,17,[ 25643 266286 301013 228768   3573  40539 125286 227894  14870 275384]
38,daley,blind,daley blind,3/9/1990,26,72,180,left,,,Netherlands,Amsterdam,DF,CB,Active,6000000,25000000,6/30/2023 0:00,SEG,https://img.a.transfermarkt.technology/portrait/header/12282-1660761781.jpg?lm=1,6,3,0,0.00%,0,0.00%,0,0,0.00%,224,192,85.70%,1,0,1,1,100.00%,5,2,0,0,19,11,57.90%,6,10,4,40.00%,1,21,0,6,22,0,0,0,0,0.00%,6,[477744  22559 426702  97555  55982 493412  14717  26084  25919 229119]
45,gregory,van der wiel,gregory van der wiel,2/3/1988,28,69,183,right,,,Netherlands,Amsterdam,DF,RB,Active,,10000000,,,https://img.a.transfermarkt.technology/portrait/header/45548-1520787963.jpg?lm=1,5,1,0,0.00%,0,0.00%,0,0,0.00%,133,108,81.20%,1,0,1,1,100.00%,2,4,0,0,13,7,53.80%,7,5,2,40.00%,3,17,0,1,21,0,0,0,0,0.00%,16,[286382   4326 404285  56394  40707 388099 250899  26433  22152 391643]
48,jan,vertonghen,jan vertonghen,4/24/1987,29,88,189,left,tottenham hotspur fc,belgium,Belgium,Sint-Niklaas,DF,CB,Active,1800000,32000000,6/30/2024 0:00,A-GROUP,https://img.a.transfermarkt.technology/portrait/header/43250-1668080180.jpg?lm=1,46,26,5,19.20%,1,3.80%,0,0,0.00%,2856,2534,88.70%,4,0,15,14,93.30%,12,22,0,0,249,159,63.90%,81,116,69,59.50%,49,266,0,20,318,0,0,0,0,0.00%,1,[  8653  70086  25826 265366 364860  55990   7899  70122  56441  26508]
54,christian,dannemann eriksen,christian dannemann eriksen,2/14/1992,24,76,180,right,tottenham hotspur fc,denmark,Denmark,Middelfart,MD,AM,Active,25000000,100000000,6/30/2025 0:00,,https://img.a.transfermarkt.technology/portrait/header/69633-1668184209.jpg?lm=1,41,90,35,38.90%,11,12.20%,1,0,0.00%,2350,1928,82.00%,27,10,37,33,89.20%,31,38,8,20,57,20,35.10%,32,122,50,41.00%,1,119,0,66,142,0,0,0,0,0.00%,3,[ 38021 230883  14812 278289   8317 226200  16432  13484  25715   8471]
56,davy,klaassen,davy klaassen,2/21/1993,23,70,179,right,sv werder bremen,,Netherlands,Hilversum,MD,AM,Active,12000000,22000000,6/30/2024 0:00,,https://img.a.transfermarkt.technology/portrait/header/182932-1666951645.jpg?lm=1,7,1,1,100.00%,0,0.00%,0,0,0.00%,97,78,80.40%,0,0,1,1,100.00%,0,1,0,0,8,3,37.50%,3,10,1,10.00%,3,6,0,1,9,0,0,0,0,0.00%,5,[  3779  14707 545811 259946  86307  20450 366203 337732 258254   8955]
66,kolbeinn,sigthorsson,kolbeinn sigthorsson,3/14/1990,26,84,186,right,fc nantes,,Iceland,Reykjavík,FW,CF,Active,150000,5000000,,,https://img.a.transfermarkt.technology/portrait/header/52246-1473587731.jpeg?lm=1,7,5,2,40.00%,2,40.00%,0,0,0.00%,75,51,68.00%,0,0,0,0,0.00%,0,1,0,0,97,52,53.60%,10,29,10,34.50%,0,18,0,1,19,0,0,0,0,0.00%,0,[278324 239294   8374  50461 279709 352328 268180 274970 366546 449985]
74,ragnar,klavan,ragnar klavan,10/30/1985,31,78,187,left,cagliari calcio,,UdSSR,Viljandi,DF,CB,Active,100000,4000000,,SFI,https://img.a.transfermarkt.technology/portrait/header/26669-1647432990.jpg?lm=1,18,2,1,50.00%,1,50.00%,0,0,0.00%,1130,1052,93.10%,1,0,0,0,0.00%,2,3,0,0,109,48,44.00%,30,29,13,44.80%,1,75,0,1,76,0,0,0,0,0.00%,8,[  7860   5653   3795  20929  25430 213124  44510  21160   4180   5677]
